"percentage","level","tag","call count","max time","max/min time","avg time","total","function","location"
"100.00","1","Whole Program","1","0.0033","1.0000","0.0033","0.0033","Profiler():194","/src/system/sys_profiler.cc"
"36.96","2","HC run simulation","1","0.0012","1.0000","0.0012","0.0012","run_simulation():151","/src/coupling/hc_explicit_sequential.cc"
"99.98","3","Solving MH system","3","0.0012","1.0000","0.0004","0.0012","update_solution():294","/src/flow/darcy_flow_mh.cc"
"34.36","4","full assembly","3","0.0004","1.0000","0.0001","0.0004","assembly_linear_system():989","/src/flow/darcy_flow_mh.cc"
"0.00","4","postprocess","3","0.0000","1.0000","0.0000","0.0000","postprocess():320","/src/flow/darcy_flow_mh.cc"
"5.24","4","PETSC linear solver","3","0.0001","1.0000","0.0000","0.0001","solve():351","/src/la/linsys_PETSC.cc"
"99.99","5","PETSC linear iteration","24","0.0001","1.0000","0.0000","0.0001","solve():352","/src/la/linsys_PETSC.cc"
"34.84","4","Darcy output","3","0.0004","1.0000","0.0001","0.0004","output():195","/src/flow/darcy_flow_mh_output.cc"
"62.49","5","Fill OutputData","3","0.0003","1.0000","0.0001","0.0003","output():144","/src/fields/field_set.cc"
"3.73","5","write_time_frame","3","0.0000","1.0000","0.0000","0.0000","write_time_frame():217","/src/io/output_time.cc"
"12.42","2","HC constructor","1","0.0004","1.0000","0.0004","0.0004","HC_ExplicitSequential():76","/src/coupling/hc_explicit_sequential.cc"
"14.01","3","Reading mesh - init_from_input","1","0.0001","1.0000","0.0001","0.0001","init_from_input():228","/src/mesh/mesh.cc"
"27.68","4","MESH - setup topology","1","0.0000","1.0000","0.0000","0.0000","setup_topology():253","/src/mesh/mesh.cc"
"60.05","4","GMSHReader - read mesh","1","0.0000","1.0000","0.0000","0.0000","read_mesh():77","/src/mesh/msh_gmshreader.cc"
"85.90","3","Darcy constructor","1","0.0003","1.0000","0.0003","0.0003","DarcyFlowMH_Steady():219","/src/flow/darcy_flow_mh.cc"
"93.57","4","preallocation","1","0.0003","1.0000","0.0003","0.0003","create_linear_system():883","/src/flow/darcy_flow_mh.cc"
"99.82","5","PETSC PREALLOCATION","1","0.0003","1.0000","0.0003","0.0003","create_linear_system():960","/src/flow/darcy_flow_mh.cc"
"0.13","4","data init","1","0.0000","1.0000","0.0000","0.0000","DarcyFlowMH_Steady():224","/src/flow/darcy_flow_mh.cc"
"1.11","4","prepare parallel","1","0.0000","1.0000","0.0000","0.0000","prepare_parallel():1314","/src/flow/darcy_flow_mh.cc"
"1.14","4","prepare scatter","1","0.0000","1.0000","0.0000","0.0000","make_serial_scatter():1267","/src/flow/darcy_flow_mh.cc"
